from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Mundka, Delhi - DPCC"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Mundka, Delhi - DPCC"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Mundka, Delhi - DPCC"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Mundka, Delhi - DPCC"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Mundka, Delhi - DPCC"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Mundka, Delhi - DPCC"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Mundka, Delhi - DPCC"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Mundka, Delhi - DPCC"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Mundka, Delhi - DPCC"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Mundka, Delhi - DPCC"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Mundka, Delhi - DPCC"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Mundka, Delhi - DPCC"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Mundka, Delhi - DPCC"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Mundka, Delhi - DPCC"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Mundka, Delhi - DPCC"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Mundka, Delhi - DPCC"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Mundka, Delhi - DPCC"
